sample-id,Level1,Sequencing run,Diagnosis,Truepera,Actinomyces,N09,Varibaculum,Brevibacterium,Corynebacterium,Brachybacterium,Dietzia,Gordonia,Janibacter,Salinibacterium,Micrococcus,Rothia,Mycobacterium,Nocardioides,Promicromonospora,Propionibacterium,Pseudonocardia,Sanguibacter,Collinsella,Rubrobacter,Solirubrobacter,Flavisolibacter,[Prevotella],Porphyromonas,Prevotella,Hymenobacter,Cloacibacterium,Capnocytophaga,Flavobacterium,Pedobacter,Sphingobacterium,Exiguobacterium,Bacillus,Staphylococcus,Gemella,Granulicatella,Streptococcus,Anaerococcus,Finegoldia,Peptoniphilus,Blautia,Catonella,Oribacterium,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Gemmatimonas,Mycoplana,Phenylobacterium,Bradyrhizobium,Devosia,Methylobacterium,Agrobacterium,Novosphingobium,Sphingomonas,Lautropia,Aquabacterium,Limnohabitans,Methylibium,Paucibacter,Variovorax,Janthinobacterium,Kingella,Neisseria,Rheinheimera,Klebsiella,Chromohalobacter,Halomonas,Actinobacillus,Haemophilus,Acinetobacter,Alkanindiges,Enhydrobacter,Moraxella,Pseudomonas,Vibrio,Pseudoxanthomonas,Akkermansia,Unknown
BRU.1037,Controls,MSQ82,healthy,0,0.425438596491228,0,0,0,0.330409356725146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526315789474,0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219298245614035
BRU.1039,Controls,MSQ82,healthy,0,0,0,0,0,0.344,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096
BRU.1040,Controls,MSQ82,healthy,0,0.336996336996337,0,0,0,0,0,0,0,0,0.113553113553114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457875457875458,0,0,0,0,0,0,0,0,0.0732600732600733,0,0,0,0,0,0,0,0,0,0,0.115384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263736263736264,0,0,0,0,0,0,0,0,0,0,0,0.021978021978022,0,0,0,0,0,0,0,0.0293040293040293
BRU.1042,Controls,MSQ82,healthy,0,0,0,0,0,0.0274442538593482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1852487135506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159519725557461,0,0,0,0.608919382504288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019
ILDCON.1043.BAL,Control,MSQ104,healthy,0,0,0,0,0,0,0,0,0,0,0.0227136879856545,0.0209205020920502,0,0.0185295875672445,0,0,0,0.017931858936043,0.00597728631201435,0,0,0,0,0.0149432157800359,0,0.0466228332337119,0,0,0,0,0.0717274357441721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218768679019725,0,0,0,0,0.273161984459056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520023909145248,0.236700537955768
ILDCON.1044.BAL,Control,MSQ104,healthy,0,0,0,0,0,0.0093603744149766,0,0,0,0,0.0382215288611544,0,0,0.0491419656786271,0,0,0,0.00702028081123245,0,0,0,0,0,0,0,0.0499219968798752,0,0,0,0,0.219188767550702,0,0,0,0,0,0,0,0,0,0,0,0.0124804992199688,0,0.0202808112324493,0,0.0421216848673947,0,0,0,0,0.0756630265210608,0,0,0,0,0.13182527301092,0,0,0,0.0218408736349454,0,0,0,0,0,0,0.0171606864274571,0,0,0,0.0327613104524181,0,0,0,0,0,0,0,0,0.273010920436817
ILDCON.1045.BAL,Control,MSQ104,healthy,0,0,0,0,0,0.0109157064887811,0,0,0,0,0.00970285021224985,0.00667070952092177,0,0.0206185567010309,0,0,0,0,0,0,0,0,0,0,0,0.331109763493026,0,0,0,0,0.0345664038811401,0,0,0,0,0,0,0,0,0,0,0,0.100060642813827,0.0466949666464524,0,0.192844147968466,0.0497271073377805,0,0,0,0,0.0509399636143117,0,0,0,0,0.0345664038811401,0.0175864160097029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007883565797453,0.0861127956337174
ILDCON.1046.BAL,Control,MSQ104,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0.245775729646697,0,0,0.0235535074244752,0,0,0,0,0,0,0,0,0.328725038402458,0,0,0,0,0.104454685099846,0.196108550947261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563236047107015,0,0,0,0,0,0,0,0,0,0,0,0.00256016385048643,0,0,0,0,0.0184331797235023,0,0.0138248847926267,0.0450588837685612
ILDCON.1047.BAL,Control,MSQ104,healthy,0,0,0,0,0,0.0637450199203187,0,0,0,0,0.051792828685259,0,0.0345285524568393,0.0305444887118194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172642762284197,0,0,0,0,0,0,0,0,0,0,0,0.0278884462151394,0.0889774236387782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411686586985392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132802124833997,0,0,0.0225763612217795,0,0.0159362549800797,0.592297476759628
ILDCON.1048.BAL,Control,MSQ104,healthy,0,0,0,0,0,0.0558339298496779,0,0,0,0,0.0658554044380816,0,0,0.0465282748747316,0,0,0,0,0,0,0,0,0,0,0.00930565497494631,0,0,0.0114531138153185,0,0,0.00930565497494631,0,0,0,0.00644237652111668,0,0,0,0,0,0.0100214745884037,0,0.0465282748747316,0,0,0,0,0,0,0,0,0.0200429491768074,0,0,0,0,0.0264853256979241,0,0,0,0.0529706513958482,0,0,0,0,0,0,0,0,0,0,0,0.0150322118826056,0,0,0,0.0336435218324982,0.0114531138153185,0,0,0.579098067287044
